line_name,from_stop_id,to_stop_id,avg_seconds,num_samples
3,U878Z1P,U237Z7P,60,6
3,U237Z7P,U237Z5P,60,6
3,U237Z5P,U237Z1P,120,6
3,U237Z1P,U237Z13P,60,6
3,U237Z13P,U997Z2P,120,6
3,U997Z2P,U484Z2P,60,7
3,U484Z2P,U1072Z2P,120,7
3,U1072Z2P,U203Z2P,60,6
3,U203Z2P,U480Z4P,180,6
3,U480Z4P,U32Z2P,60,6
3,U32Z2P,U689Z2P,120,6
3,U689Z2P,U854Z2P,60,7
3,U854Z2P,U758Z2P,60,7
3,U758Z2P,U816Z2P,60,6
3,U816Z2P,U655Z2P,120,6
3,U655Z2P,U529Z4P,180,6
3,U529Z4P,U471Z2P,60,6
3,U471Z2P,U779Z2P,60,6
3,U779Z2P,U861Z2P,120,7
3,U861Z2P,U54Z2P,60,6
3,U54Z2P,U870Z2P,120,6
3,U514Z2P,U249Z2P,120,6
3,U249Z2P,U675Z2P,60,6
3,U449Z1P,U387Z1P,60,6
3,U387Z1P,U614Z1P,60,6
3,U614Z1P,U110Z1P,120,6
3,U110Z1P,U303Z1P,120,6
4,U599Z1P,U605Z1P,60,7
4,U605Z1P,U473Z1P,60,7
4,U473Z1P,U680Z1P,120,6
4,U680Z1P,U269Z1P,60,6
4,U269Z1P,U67Z7P,120,6
4,U67Z7P,U391Z1P,120,6
4,U391Z1P,U627Z1P,60,6
4,U627Z1P,U301Z1P,60,7
4,U301Z1P,U354Z1P,60,7
4,U354Z1P,U476Z1P,120,6
4,U476Z1P,U190Z1P,120,6
4,U190Z1P,U739Z1P,180,6
4,U237Z3P,U237Z4P,120,7
4,U237Z4P,U237Z6P,60,7
4,U237Z6P,U901Z2P,180,6
4,U901Z2P,U1040Z2P,120,6
4,U1040Z2P,U302Z2P,180,6
4,U302Z2P,U1044Z2P,60,7
4,U1044Z2P,U319Z2P,60,7
4,U319Z2P,U184Z4P,60,6
4,U184Z4P,U957Z4P,120,6
4,U184Z3P,U319Z1P,60,6
4,U319Z1P,U1044Z1P,60,6
4,U1044Z1P,U302Z1P,60,6
4,U302Z1P,U1040Z1P,300,7
4,U1040Z1P,U901Z1P,60,6
4,U901Z1P,U237Z5P,120,6
4,U237Z5P,U237Z1P,120,6
4,U237Z1P,U739Z2P,120,7
4,U739Z2P,U190Z2P,120,7
4,U889Z1P,U2781Z1P,60,6
4,U2781Z1P,U584Z1P,60,6
4,U584Z1P,U618Z1P,60,6
4,U618Z1P,U459Z1P,60,6
4,U459Z1P,U599Z1P,60,6
4,U459Z2P,U618Z2P,120,8
4,U618Z2P,U584Z2P,60,7
4,U584Z2P,U2781Z2P,60,7
4,U2781Z2P,U889Z2P,60,7
4,U627Z2P,U391Z2P,120,7
4,U391Z2P,U67Z2P,60,7
4,U67Z2P,U269Z2P,60,6
4,U269Z2P,U680Z2P,60,6
4,U680Z2P,U473Z2P,120,6
4,U473Z2P,U605Z2P,120,6
4,U605Z2P,U599Z2P,60,6
4,U599Z2P,U459Z2P,60,7
4,U190Z2P,U476Z2P,120,6
4,U476Z2P,U354Z2P,120,6
4,U354Z2P,U301Z2P,60,6
4,U301Z2P,U627Z2P,60,6
4,U713Z1P,U599Z2P,60,1
5,U484Z1P,U997Z1P,60,14
5,U997Z1P,U401Z2P,60,14
5,U401Z2P,U208Z2P,120,12
5,U208Z2P,U901Z2P,180,12
5,U901Z2P,U1040Z4P,120,12
5,U1040Z4P,U1040Z6P,60,12
5,U1040Z6P,U553Z2P,60,14
5,U553Z2P,U458Z2P,120,14
5,U458Z2P,U337Z2P,120,12
5,U337Z2P,U914Z2P,120,12
5,U914Z2P,U147Z6P,120,12
5,U147Z6P,U49Z4P,120,12
5,U49Z4P,U1049Z4P,60,14
5,U1049Z4P,U1050Z4P,60,12
5,U1050Z4P,U1030Z2P,60,12
5,U1030Z2P,U1019Z2P,60,12
5,U1019Z2P,U2701Z2P,60,12
5,U2701Z2P,U2702Z2P,60,12
5,U2702Z2P,U2711Z2P,180,12
5,U2711Z1P,U2702Z1P,60,12
5,U2702Z1P,U2701Z1P,60,12
5,U2701Z1P,U1019Z1P,120,12
5,U1019Z1P,U1030Z1P,60,12
5,U1030Z1P,U1050Z3P,60,12
5,U1050Z3P,U1049Z3P,60,14
5,U1049Z3P,U49Z5P,60,14
5,U339Z1P,U172Z1P,120,14
5,U172Z1P,U142Z1P,240,14
5,U142Z1P,U203Z1P,60,12
5,U203Z1P,U1072Z1P,180,12
5,U1072Z1P,U484Z1P,60,12
5,U837Z3P,U512Z1P,60,7
5,U512Z1P,U34Z1P,120,14
5,U34Z1P,U469Z1P,60,12
5,U469Z1P,U469Z3P,60,12
5,U469Z3P,U586Z1P,60,12
5,U586Z1P,U516Z1P,60,12
5,U516Z1P,U339Z1P,120,12
5,U34Z2P,U512Z2P,120,14
5,U512Z2P,U837Z2P,60,14
5,U172Z2P,U339Z2P,120,14
5,U339Z2P,U516Z2P,180,14
5,U516Z2P,U586Z2P,60,12
5,U586Z2P,U469Z4P,60,12
5,U469Z4P,U469Z2P,60,12
5,U469Z2P,U34Z2P,120,12
5,U401Z1P,U997Z2P,60,14
5,U997Z2P,U484Z2P,60,14
5,U484Z2P,U1072Z2P,120,12
5,U1072Z2P,U203Z2P,60,12
5,U203Z2P,U142Z2P,120,12
5,U142Z2P,U172Z2P,120,12
5,U49Z5P,U147Z5P,180,12
5,U147Z5P,U914Z1P,60,12
5,U914Z1P,U337Z1P,120,12
5,U337Z1P,U458Z1P,120,12
5,U458Z1P,U553Z1P,60,14
5,U553Z1P,U1040Z5P,60,14
5,U1040Z5P,U1040Z3P,120,12
5,U1040Z3P,U901Z1P,60,12
5,U901Z1P,U208Z1P,180,12
5,U208Z1P,U401Z1P,120,12
5,U837Z1P,U512Z1P,60,7
5,U694Z1P,U266Z1P,60,6
5,U266Z1P,U180Z1P,60,6
5,U180Z1P,U714Z1P,60,6
5,U714Z1P,U837Z1P,60,6
5,U837Z2P,U714Z2P,120,6
5,U714Z2P,U180Z2P,60,6
5,U180Z2P,U266Z2P,60,6
5,U266Z2P,U694Z2P,120,6
6,U115Z3P,U532Z1P,120,9
6,U532Z1P,U841Z1P,60,9
6,U841Z1P,U717Z5P,120,8
6,U717Z5P,U439Z1P,60,8
6,U439Z1P,U87Z1P,120,8
6,U87Z1P,U480Z1P,120,8
6,U480Z1P,U480Z3P,60,8
6,U480Z3P,U203Z1P,120,9
6,U203Z1P,U1072Z1P,180,7
6,U1072Z1P,U484Z1P,60,7
6,U484Z1P,U997Z1P,60,7
6,U997Z1P,U237Z2P,120,7
6,U237Z2P,U739Z2P,120,8
6,U739Z2P,U190Z2P,120,8
6,U190Z2P,U190Z14P,60,7
6,U190Z14P,U45Z2P,60,7
6,U45Z2P,U560Z2P,120,7
6,U560Z2P,U504Z2P,60,7
6,U504Z2P,U482Z6P,60,7
6,U482Z6P,U463Z2P,120,8
6,U463Z2P,U508Z2P,120,8
6,U508Z2P,U269Z2P,60,7
6,U269Z2P,U680Z2P,60,7
6,U680Z2P,U473Z2P,120,7
6,U473Z3P,U680Z1P,60,7
6,U680Z1P,U269Z1P,60,7
6,U269Z1P,U508Z1P,180,7
6,U508Z1P,U463Z1P,60,8
6,U463Z1P,U482Z5P,120,8
6,U482Z5P,U504Z1P,60,7
6,U504Z1P,U560Z1P,120,7
6,U560Z1P,U45Z1P,60,7
6,U45Z1P,U190Z13P,60,7
6,U190Z13P,U190Z1P,60,7
6,U190Z1P,U739Z1P,180,9
6,U237Z3P,U237Z13P,60,8
6,U237Z13P,U997Z2P,120,8
6,U997Z2P,U484Z2P,60,8
6,U484Z2P,U1072Z2P,120,8
6,U1072Z2P,U203Z2P,60,8
6,U203Z2P,U480Z4P,180,9
6,U480Z4P,U480Z2P,120,8
6,U480Z2P,U87Z2P,60,8
6,U87Z2P,U717Z4P,180,8
6,U717Z4P,U841Z2P,60,8
6,U841Z2P,U532Z2P,120,8
6,U532Z2P,U115Z4P,180,10
7,U72Z1P,U652Z1P,60,6
7,U652Z1P,U135Z1P,60,6
7,U135Z1P,U144Z1P,60,6
7,U144Z1P,U755Z1P,60,6
7,U755Z1P,U775Z1P,60,6
7,U775Z1P,U691Z1P,60,6
7,U691Z1P,U1401Z1P,60,6
7,U1401Z1P,U134Z1P,60,7
7,U134Z1P,U348Z1P,120,7
7,U348Z1P,U1075Z1P,60,6
7,U1075Z1P,U12Z3P,60,6
7,U12Z3P,U529Z5P,120,6
7,U529Z5P,U529Z1P,120,6
7,U529Z1P,U1074Z2P,120,7
7,U1074Z2P,U34Z1P,180,7
7,U34Z1P,U469Z1P,60,6
7,U469Z1P,U373Z1P,60,6
7,U373Z1P,U921Z2P,180,6
7,U921Z2P,U849Z2P,60,6
7,U849Z2P,U299Z2P,60,7
7,U299Z2P,U848Z1P,60,7
7,U848Z1P,U713Z1P,120,6
7,U713Z1P,U605Z1P,60,6
7,U605Z1P,U473Z1P,60,6
7,U473Z1P,U680Z1P,120,6
7,U680Z1P,U269Z1P,60,6
