service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000010_TR33,0,0,0,0,0,1,0,20260214,20261212
0000001_TR38,0,0,0,0,0,0,1,20251214,20261206
1111110_TR17,1,1,1,1,1,1,0,20260128,20261211
0000001_TR39,0,0,0,0,0,0,1,20251214,20261212
0000001_TR40,0,0,0,0,0,0,1,20260131,20261212
1111110_TR18,1,1,1,1,1,1,0,20251215,20261211
0000001_TR41,0,0,0,0,0,0,1,20260214,20261212
1111100_TR60,1,1,1,1,1,0,0,20260128,20261211
0000010_TR34,0,0,0,0,0,1,0,20260214,20261212
0000001_TR42,0,0,0,0,0,0,1,20251214,20261206
0000010_TR35,0,0,0,0,0,1,0,20260321,20261031
1111111_TR78,1,1,1,1,1,1,1,20260128,20261212
1111101_TR18,1,1,1,1,1,0,1,20251214,20261212
1000001_TR1,1,0,0,0,0,0,1,20260726,20260727
1111110_TR19,1,1,1,1,1,1,0,20260128,20261211
1111101_TR19,1,1,1,1,1,0,1,20260128,20261212
0000001_TR43,0,0,0,0,0,0,1,20260322,20261101
0000000_TR33,0,0,0,0,0,0,0,20260214,20261212
0000011_TR59,0,0,0,0,0,1,1,20260321,20261101
1111100_TR61,1,1,1,1,1,0,0,20251214,20261212
1111100_TR62,1,1,1,1,1,0,0,20260128,20261211
1111111_TR79,1,1,1,1,1,1,1,20251215,20261211
0000000_TR34,0,0,0,0,0,0,0,20260131,20261212
1111100_TR63,1,1,1,1,1,0,0,20260128,20261212
1111111_TR80,1,1,1,1,1,1,1,20260128,20261211
1111111_TR81,1,1,1,1,1,1,1,20260128,20261211
1111111_TR82,1,1,1,1,1,1,1,20260129,20261211
1111101_TR20,1,1,1,1,1,0,1,20260129,20261211
0000010_TR36,0,0,0,0,0,1,0,20251214,20261212
0000010_TR37,0,0,0,0,0,1,0,20260321,20261031
0000001_TR44,0,0,0,0,0,0,1,20260322,20261101
1111111_TR83,1,1,1,1,1,1,1,20260129,20261211
1111111_TR84,1,1,1,1,1,1,1,20260128,20261211
1111101_TR21,1,1,1,1,1,0,1,20260129,20261211
0000010_TR38,0,0,0,0,0,1,0,20251214,20261212
1111111_TR85,1,1,1,1,1,1,1,20251214,20261212
1111100_TR64,1,1,1,1,1,0,0,20251215,20261211
1111100_TR65,1,1,1,1,1,0,0,20260707,20260714
1111111_TR86,1,1,1,1,1,1,1,20260129,20261212
1111111_TR87,1,1,1,1,1,1,1,20260630,20260721
1111100_TR66,1,1,1,1,1,0,0,20260129,20261211
0000011_TR60,0,0,0,0,0,1,1,20251214,20261212
1111111_TR88,1,1,1,1,1,1,1,20260129,20261212
1111111_TR89,1,1,1,1,1,1,1,20260630,20260721
1111111_TR90,1,1,1,1,1,1,1,20251214,20261212
1111111_TR91,1,1,1,1,1,1,1,20251214,20261212
0000000_TR35,0,0,0,0,0,0,0,20251214,20261212
0000011_TR61,0,0,0,0,0,1,1,20260403,20261101
0000000_TR36,0,0,0,0,0,0,0,20251219,20261211
1111100_TR67,1,1,1,1,1,0,0,20251215,20261210
0000011_TR62,0,0,0,0,0,1,1,20260523,20260830
0000011_TR63,0,0,0,0,0,1,1,20251214,20261212
0000010_TR39,0,0,0,0,0,1,0,20260321,20261031
0000001_TR45,0,0,0,0,0,0,1,20260322,20261101
0000011_TR64,0,0,0,0,0,1,1,20251214,20261206
0000000_TR37,0,0,0,0,0,0,0,20251220,20261212
1111100_TR68,1,1,1,1,1,0,0,20251215,20261211
1111100_TR69,1,1,1,1,1,0,0,20251215,20261211
0000001_TR46,0,0,0,0,0,0,1,20251220,20261212
0000010_TR40,0,0,0,0,0,1,0,20251214,20261212
0000001_TR47,0,0,0,0,0,0,1,20251214,20261212
1111001_TR3,1,1,1,1,0,0,1,20251214,20261210
0000110_TR4,0,0,0,0,1,1,0,20251219,20261212
1111010_TR5,1,1,1,1,0,1,0,20251215,20261212
0000100_TR12,0,0,0,0,1,0,0,20251219,20261211
1111100_TR70,1,1,1,1,1,0,0,20251215,20261211
1000000_TR7,1,0,0,0,0,0,0,20260720,20260727
0000011_TR65,0,0,0,0,0,1,1,20251214,20261212
1111100_TR71,1,1,1,1,1,0,0,20251215,20261211
1000000_TR8,1,0,0,0,0,0,0,20260603,20260727
1111100_TR72,1,1,1,1,1,0,0,20251215,20261211
0000100_TR13,0,0,0,0,1,0,0,20251219,20261211
0000100_TR14,0,0,0,0,1,0,0,20260710,20260710
1111011_TR5,1,1,1,1,0,1,1,20251213,20261210
1111111_TR92,1,1,1,1,1,1,1,20251214,20261212
0011111_TR2,0,0,1,1,1,1,1,20260704,20260712
0000011_TR66,0,0,0,0,0,1,1,20251214,20261212
0000011_TR67,0,0,0,0,0,1,1,20260704,20260712
0000011_TR68,0,0,0,0,0,1,1,20251214,20261212
0000001_TR48,0,0,0,0,0,0,1,20260712,20260712
0000010_TR41,0,0,0,0,0,1,0,20260704,20260711
0000011_TR69,0,0,0,0,0,1,1,20251214,20261212
0000011_TR70,0,0,0,0,0,1,1,20251214,20261212
1111111_TR93,1,1,1,1,1,1,1,20251214,20261212
0011110_TR1,0,0,1,1,1,1,0,20260704,20260711
1111111_TR94,1,1,1,1,1,1,1,20251214,20261212
0000010_TR42,0,0,0,0,0,1,0,20261031,20261031
0000010_TR43,0,0,0,0,0,1,0,20260321,20261028
1111100_TR73,1,1,1,1,1,0,0,20251215,20261211
0000001_TR49,0,0,0,0,0,0,1,20251214,20261212
1111100_TR74,1,1,1,1,1,0,0,20251220,20261212
1111111_TR95,1,1,1,1,1,1,1,20251214,20261212
0000010_TR44,0,0,0,0,0,1,0,20251214,20261212
1111101_TR22,1,1,1,1,1,0,1,20251215,20261211
1111111_TR96,1,1,1,1,1,1,1,20251213,20261211
1111111_TR97,1,1,1,1,1,1,1,20260522,20260830
0000010_TR45,0,0,0,0,0,1,0,20260606,20261212
0000011_TR71,0,0,0,0,0,1,1,20260606,20261212
1111100_TR75,1,1,1,1,1,0,0,20260601,20261211
0000011_TR72,0,0,0,0,0,1,1,20261107,20261129
1111110_TR20,1,1,1,1,1,1,0,20260601,20261212
0000001_TR50,0,0,0,0,0,0,1,20260607,20261206
0000011_TR73,0,0,0,0,0,1,1,20260627,20261004
0000011_TR74,0,0,0,0,0,1,1,20251214,20261212
1111111_TR98,1,1,1,1,1,1,1,20251214,20261212
0000011_TR75,0,0,0,0,0,1,1,20260627,20261101
0000000_TR38,0,0,0,0,0,0,0,20260627,20260926
0000011_TR76,0,0,0,0,0,1,1,20260628,20261101
1111111_TR99,1,1,1,1,1,1,1,20260705,20261212
0000011_TR77,0,0,0,0,0,1,1,20260705,20261212
1111111_TR100,1,1,1,1,1,1,1,20251214,20261212
1111111_TR101,1,1,1,1,1,1,1,20251214,20261212
0000011_TR78,0,0,0,0,0,1,1,20260627,20261212
1111100_TR76,1,1,1,1,1,0,0,20260623,20261211
1111100_TR77,1,1,1,1,1,0,0,20251215,20261211
0000010_TR46,0,0,0,0,0,1,0,20251220,20261212
0000011_TR79,0,0,0,0,0,1,1,20251214,20261212
1111111_TR102,1,1,1,1,1,1,1,20260630,20261212
1111100_TR78,1,1,1,1,1,0,0,20251222,20261211
0000011_TR80,0,0,0,0,0,1,1,20261003,20261212
0000011_TR81,0,0,0,0,0,1,1,20251214,20261212
0000011_TR82,0,0,0,0,0,1,1,20251214,20261212
1111111_TR103,1,1,1,1,1,1,1,20251214,20261212
0000000_TR39,0,0,0,0,0,0,0,20251214,20261212
1111111_TR104,1,1,1,1,1,1,1,20260414,20261212
0000011_TR83,0,0,0,0,0,1,1,20260418,20261031
0000011_TR84,0,0,0,0,0,1,1,20260704,20260928
0000011_TR85,0,0,0,0,0,1,1,20251214,20261212
0000100_TR15,0,0,0,0,1,0,0,20251219,20261211
0000000_TR40,0,0,0,0,0,0,0,20251215,20261211
1000000_TR9,1,0,0,0,0,0,0,20260713,20260713
1111100_TR79,1,1,1,1,1,0,0,20260714,20261109
1111100_TR80,1,1,1,1,1,0,0,20260713,20261109
0000000_TR41,0,0,0,0,0,0,0,20251214,20261212
0000011_TR86,0,0,0,0,0,1,1,20260718,20261108
0000000_TR42,0,0,0,0,0,0,0,20251214,20261212
1111111_TR105,1,1,1,1,1,1,1,20260713,20261109
1000000_TR10,1,0,0,0,0,0,0,20261109,20261109
1111111_TR106,1,1,1,1,1,1,1,20260713,20261108
0000000_TR43,0,0,0,0,0,0,0,20251215,20261211
0000000_TR44,0,0,0,0,0,0,0,20251214,20261211
1111101_TR23,1,1,1,1,1,0,1,20260713,20261108
1111100_TR81,1,1,1,1,1,0,0,20260713,20261106
0000000_TR45,0,0,0,0,0,0,0,20251220,20261212
0000010_TR47,0,0,0,0,0,1,0,20260718,20261107
0000000_TR46,0,0,0,0,0,0,0,20251214,20261212
0000000_TR47,0,0,0,0,0,0,0,20251219,20261211
0000100_TR16,0,0,0,0,1,0,0,20260717,20261106
0000010_TR48,0,0,0,0,0,1,0,20251220,20261212
0000001_TR51,0,0,0,0,0,0,1,20251214,20261206
